Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation
545.37,G04,X1.0000,,,,,,2.41,0.9,0,2998,3.67032967,3.32967033,2.648351648,27.34065934,19.213,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
546.27,Y31.5880,,,,,,,185.48,12.69,297.3149606,2997.031496,21.11338583,27.65748031,14.60472441,18.13070866,19.213,31.588,0,63.176,63.176,-1.5,0,Climb,3.2,63.2,1.5,192.87,289.305,Cut with Feed,63.176,Face Milling
558.96,G04,X1.0000,,,,,,6.92,0.89,0,2998,1.022222222,6.144444444,7.688888889,27.97777778,19.213,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
559.85,X22.3880,,,,,,,7.1,0.89,214.6111111,2994.777778,13.87777778,38.46666667,7.888888889,23.28888889,22.388,31.588,3.175,0,3.175,-1.5,0,Climb,3.1,4.4,1.5,10.2,15.3,Cut with Feed,3.175,Face Milling
560.74,G04,X1.0000,,,,,,6.25,0.89,0,2998,3.833333333,6.322222222,6.944444444,20.68888889,22.388,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
561.63,Y-31.5880,,,,,,,217.39,12.43,304.7548232,2997.77492,22.13665595,15.77652733,17.47508039,22.11575563,22.388,-31.588,0,-63.176,63.176,-1.5,0,Conventional,3.2,63.2,1.5,192.98,289.47,Cut with Feed,63.176,Face Milling
574.06,G04,X1.0000,,,,,,9.95,1.19,0,2997.916667,1.341666667,0.925,8.291666667,24.20833333,22.388,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
575.25,X25.5630,,,,,,,7.65,0.61,300.0806452,2988.16129,16.96774194,21.75806452,12.33870968,19.58064516,25.563,-31.588,3.175,0,3.175,-1.5,0,Conventional,3,4.4,1.5,10.09,15.135,Cut with Feed,3.175,Face Milling
575.86,G04,X1.0000,,,,,,3.27,1.16,0,2998,4.401709402,5.41025641,2.794871795,25.95726496,25.563,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
577.02,Y31.5880,,,,,,,164.68,12.58,304.7577442,2997.769658,21.72359015,31.50675139,13.0802224,18.21842732,25.563,31.588,0,63.176,63.176,-1.5,0,Climb,3.2,63.2,1.5,186.77,280.155,Cut with Feed,63.176,Face Milling
